msa812	F5B fast airfoils edumolfino@ciudad.com
   1.0000000    0.0004980
   0.9953102    0.0009415
   0.9866577    0.0017561
   0.9759172    0.0027508
   0.9641788    0.0038491
   0.9522624    0.0049644
   0.9403200    0.0061107
   0.9282436    0.0072772
   0.9162173    0.0084546
   0.9043039    0.0096089
   0.8922925    0.0107663
   0.8800581    0.0119448
   0.8677287    0.0131174
   0.8553564    0.0142899
   0.8430320    0.0154615
   0.8307296    0.0166060
   0.8183792    0.0177536
   0.8060048    0.0188902
   0.7936434    0.0200278
   0.7812570    0.0211504
   0.7688426    0.0222680
   0.7564502    0.0233716
   0.7440278    0.0244682
   0.7316194    0.0255628
   0.7192730    0.0266473
   0.7069376    0.0277099
   0.6946071    0.0287685
   0.6822837    0.0298010
   0.6700472    0.0308365
   0.6578998    0.0318440
   0.6457483    0.0328455
   0.6335928    0.0338269
   0.6213814    0.0348044
   0.6091599    0.0357629
   0.5969164    0.0367254
   0.5846319    0.0376630
   0.5722644    0.0385885
   0.5599069    0.0394931
   0.5475533    0.0403727
   0.5352288    0.0412282
   0.5229842    0.0420778
   0.5107437    0.0428763
   0.4984561    0.0436668
   0.4861295    0.0444204
   0.4737459    0.0451580
   0.4613823    0.0458725
   0.4491316    0.0465500
   0.4369400    0.0471785
   0.4248103    0.0478030
   0.4126196    0.0483705
   0.4004519    0.0489139
   0.3882442    0.0494064
   0.3760384    0.0498819
   0.3637667    0.0502955
   0.3514419    0.0506780
   0.3392010    0.0510085
   0.3269182    0.0512831
   0.3146753    0.0515056
   0.3024384    0.0516671
   0.2902155    0.0517656
   0.2780155    0.0518001
   0.2658295    0.0517706
   0.2537924    0.0516480
   0.2416293    0.0514274
   0.2295821    0.0511418
   0.2175649    0.0507362
   0.2056417    0.0502326
   0.1937663    0.0496119
   0.1821580    0.0488751
   0.1711525    0.0480689
   0.1615461    0.0472540
   0.1540617    0.0465580
   0.1488325    0.0460388
   0.1443202    0.0455592
   0.1397759    0.0450466
   0.1351376    0.0444971
   0.1305293    0.0439325
   0.1259370    0.0433500
   0.1213407    0.0427354
   0.1167474    0.0420899
   0.1121590    0.0414203
   0.1075756    0.0407198
   0.1029962    0.0399852
   0.0984238    0.0392186
   0.0938554    0.0384211
   0.0892940    0.0375885
   0.0847405    0.0367119
   0.0801950    0.0357963
   0.0756555    0.0348487
   0.0711240    0.0338632
   0.0666064    0.0328196
   0.0620999    0.0317260
   0.0576073    0.0305773
   0.0531296    0.0293697
   0.0486689    0.0281061
   0.0442282    0.0267715
   0.0398135    0.0253518
   0.0354257    0.0238531
   0.0310808    0.0222325
   0.0267729    0.0205148
   0.0225169    0.0186760
   0.0183339    0.0166732
   0.0142397    0.0144964
   0.0102874    0.0120735
