Rs004at	(c)Reinhard Sielemann
   1.0000000    0.0000000
   0.9972600    0.0001010
   0.9890700    0.0004620
   0.9755300    0.0011890
   0.9567700    0.0023090
   0.9330100    0.0038100
   0.9045100    0.0057260
   0.8715700    0.0080990
   0.8345700    0.0108930
   0.7938900    0.0140260
   0.7500000    0.0174880
   0.7033700    0.0212650
   0.6545100    0.0252940
   0.6039600    0.0294060
   0.5522600    0.0331960
   0.5000000    0.0365260
   0.4477400    0.0395120
   0.3960400    0.0419870
   0.3454900    0.0437880
   0.2966300    0.0448130
   0.2500000    0.0449410
   0.2061100    0.0440990
   0.1654300    0.0422330
   0.1284300    0.0393250
   0.0954900    0.0353730
   0.0669900    0.0304490
   0.0432300    0.0247360
   0.0244700    0.0184850
   0.0109300    0.0119220
   0.0027400    0.0056300
   0.0000000    0.0000000
   0.0027400   -0.0056300
   0.0109300   -0.0119220
   0.0244700   -0.0184850
   0.0432300   -0.0247360
   0.0669900   -0.0304490
   0.0954900   -0.0353730
   0.1284300   -0.0393250
   0.1654300   -0.0422330
   0.2061100   -0.0440990
   0.2500000   -0.0449410
   0.2966300   -0.0448130
   0.3454900   -0.0437880
   0.3960400   -0.0419870
   0.4477400   -0.0395120
   0.5000000   -0.0365260
   0.5522600   -0.0331960
   0.6039600   -0.0294060
   0.6545100   -0.0252940
   0.7033700   -0.0212650
   0.7500000   -0.0174880
   0.7938900   -0.0140260
   0.8345700   -0.0108930
   0.8715700   -0.0080990
   0.9045100   -0.0057260
   0.9330100   -0.0038100
   0.9567700   -0.0023090
   0.9755300   -0.0011890
   0.9890700   -0.0004620
   0.9972600   -0.0001010
   1.0000000    0.0000000
