S8035 for RC aerobatic  14% thick
   1.0000000    0.0000000
   0.9989900    0.0000500
   0.9960400    0.0003300
   0.9913500    0.0009700
   0.9851000    0.0019800
   0.9774500    0.0032900
   0.9684800    0.0047600
   0.9581700    0.0062900
   0.9464600    0.0078600
   0.9333500    0.0095500
   0.9189100    0.0113700
   0.9032000    0.0133200
   0.8862600    0.0154300
   0.8681700    0.0177000
   0.8490100    0.0201500
   0.8289000    0.0227600
   0.8079100    0.0255000
   0.7861300    0.0283300
   0.7636100    0.0312300
   0.7404200    0.0341800
   0.7166400    0.0371700
   0.6923600    0.0401500
   0.6676400    0.0431000
   0.6425300    0.0460100
   0.6171300    0.0488600
   0.5915200    0.0516100
   0.5657500    0.0542300
   0.5398800    0.0567100
   0.5140000    0.0590500
   0.4881800    0.0612000
   0.4624800    0.0631500
   0.4369400    0.0648800
   0.4116500    0.0664000
   0.3866900    0.0676700
   0.3621000    0.0686700
   0.3379200    0.0693900
   0.3142300    0.0698500
   0.2911100    0.0700200
   0.2685800    0.0698600
   0.2466800    0.0694000
   0.2254800    0.0686500
   0.2050400    0.0675800
   0.1853900    0.0661700
   0.1665500    0.0644500
   0.1485600    0.0624300
   0.1315000    0.0601200
   0.1153700    0.0574800
   0.1001800    0.0545600
   0.0859800    0.0513800
   0.0728300    0.0479400
   0.0607200    0.0442300
   0.0496400    0.0402800
   0.0396100    0.0361500
   0.0307100    0.0318600
   0.0229200    0.0273900
   0.0162000    0.0227900
   0.0105700    0.0181400
   0.0061300    0.0135200
   0.0028800    0.0088800
   0.0007700    0.0042800
   0.0000000    0.0000000
   0.0007700   -0.0042800
   0.0028800   -0.0088800
   0.0061300   -0.0135200
   0.0105700   -0.0181400
   0.0162000   -0.0227900
   0.0229200   -0.0273900
   0.0307100   -0.0318600
   0.0396100   -0.0361500
   0.0496400   -0.0402800
   0.0607200   -0.0442300
   0.0728300   -0.0479400
   0.0859800   -0.0513800
   0.1001800   -0.0545600
   0.1153700   -0.0574800
   0.1315000   -0.0601200
   0.1485600   -0.0624300
   0.1665500   -0.0644500
   0.1853900   -0.0661700
   0.2050400   -0.0675800
   0.2254800   -0.0686500
   0.2466800   -0.0694000
   0.2685800   -0.0698600
   0.2911100   -0.0700200
   0.3142300   -0.0698500
   0.3379200   -0.0693900
   0.3621000   -0.0686700
   0.3866900   -0.0676700
   0.4116500   -0.0664000
   0.4369400   -0.0648800
   0.4624800   -0.0631500
   0.4881800   -0.0612000
   0.5140000   -0.0590500
   0.5398800   -0.0567100
   0.5657500   -0.0542300
   0.5915200   -0.0516100
   0.6171300   -0.0488600
   0.6425300   -0.0460100
   0.6676400   -0.0431000
   0.6923600   -0.0401500
   0.7166400   -0.0371700
   0.7404200   -0.0341800
   0.7636100   -0.0312300
   0.7861300   -0.0283300
   0.8079100   -0.0255000
   0.8289000   -0.0227600
   0.8490100   -0.0201500
   0.8681700   -0.0177000
   0.8862600   -0.0154300
   0.9032000   -0.0133200
   0.9189100   -0.0113700
   0.9333500   -0.0095500
   0.9464600   -0.0078600
   0.9581700   -0.0062900
   0.9684800   -0.0047600
   0.9774500   -0.0032900
   0.9851000   -0.0019800
   0.9913500   -0.0009700
   0.9960400   -0.0003300
   0.9989900   -0.0000500
   1.0000000    0.0000000
