mb7136	F5B fast airfoils edumolfino@ciudad.com
   1.0000000    0.0002400
   0.9953898    0.0009473
   0.9866292    0.0020365
   0.9759127    0.0031795
   0.9641503    0.0043716
   0.9520498    0.0055709
   0.9398644    0.0067553
   0.9276460    0.0079208
   0.9154005    0.0090713
   0.9031391    0.0102128
   0.8908666    0.0113473
   0.8785952    0.0124748
   0.8663297    0.0135933
   0.8540662    0.0146998
   0.8418017    0.0157963
   0.8295352    0.0168818
   0.8172657    0.0179583
   0.8049991    0.0190238
   0.7927356    0.0200783
   0.7804770    0.0211198
   0.7682225    0.0221473
   0.7559709    0.0231587
   0.7437173    0.0241542
   0.7314567    0.0251357
   0.7191871    0.0261042
   0.7069074    0.0270638
   0.6946228    0.0280143
   0.6823362    0.0289568
   0.6700535    0.0298903
   0.6577749    0.0308139
   0.6455032    0.0317254
   0.6332385    0.0326239
   0.6209808    0.0335054
   0.6087311    0.0343689
   0.5964883    0.0352114
   0.5842516    0.0360328
   0.5720228    0.0368283
   0.5597990    0.0375988
   0.5475801    0.0383413
   0.5353643    0.0390537
   0.5231494    0.0397362
   0.5109335    0.0403887
   0.4987145    0.0410111
   0.4864926    0.0416046
   0.4742676    0.0421681
   0.4620425    0.0427036
   0.4498185    0.0432081
   0.4375994    0.0436825
   0.4253823    0.0441250
   0.4131701    0.0445345
   0.4009619    0.0449100
   0.3887577    0.0452494
   0.3765575    0.0455509
   0.3643602    0.0458154
   0.3521649    0.0460419
   0.3399725    0.0462273
   0.3277801    0.0463738
   0.3155857    0.0464803
   0.3033932    0.0465467
   0.2912087    0.0465732
   0.2790401    0.0465576
   0.2668975    0.0464931
   0.2547919    0.0463735
   0.2427252    0.0461898
   0.2306904    0.0459312
   0.2186825    0.0455925
   0.2067006    0.0451698
   0.1947606    0.0446610
   0.1829375    0.0440652
   0.1714763    0.0433970
   0.1612030    0.0427177
   0.1529548    0.0421135
   0.1474956    0.0416816
   0.1431004    0.0413158
   0.1387892    0.0409398
   0.1343470    0.0405340
   0.1299038    0.0401092
   0.1254925    0.0396674
   0.1210793    0.0392036
   0.1166630    0.0387187
   0.1122507    0.0382109
   0.1078423    0.0376791
   0.1034360    0.0371232
   0.0990336    0.0365414
   0.0946342    0.0359316
   0.0902398    0.0352937
   0.0858493    0.0346239
   0.0814638    0.0339220
   0.0770843    0.0331842
   0.0727117    0.0324083
   0.0683471    0.0315895
   0.0639915    0.0307256
   0.0596448    0.0298127
   0.0553100    0.0288479
   0.0509872    0.0278310
   0.0466774    0.0267611
   0.0423825    0.0256301
   0.0381065    0.0244292
   0.0338575    0.0231373
   0.0296463    0.0217293
   0.0254850    0.0201772
   0.0213925    0.0184522
   0.0173909    0.0165290
   0.0135050    0.0143797
   0.0097679    0.0119804
   0.0062175    0.0093148
   0.0029668    0.0062910
   0.0024823    0.0057404
   0.0020218    0.0051699
   0.0015902    0.0045773
   0.0011957    0.0039607
   0.0008431    0.0033181
   0.0005405    0.0026484
   0.0003530    0.0021366
   0.0002005    0.0016117
   0.0000880    0.0010779
   0.0000195    0.0005400
   0.0000000    0.0000000
   0.0000079   -0.0001110
   0.0000345   -0.0005370
   0.0000643   -0.0007500
   0.0001031   -0.0009621
   0.0001499   -0.0011721
   0.0002067   -0.0013811
   0.0002715   -0.0015862
   0.0003443   -0.0017893
   0.0004371   -0.0020163
   0.0005399   -0.0022384
   0.0006527   -0.0024565
   0.0007735   -0.0026696
   0.0009033   -0.0028777
   0.0010411   -0.0030809
   0.0021049   -0.0042878
   0.0035487   -0.0054451
   0.0053996   -0.0065798
   0.0077614   -0.0077420
   0.0108231   -0.0089788
   0.0148967   -0.0103426
   0.0204000   -0.0118837
   0.0276402   -0.0135675
   0.0364853   -0.0152128
   0.0465275   -0.0166782
   0.0573630   -0.0179413
   0.0686715   -0.0190239
