mb714	F5B fast airfoils edumolfino@ciudad.com
   1.0000000    0.0002385
   0.9953578    0.0009852
   0.9864531    0.0021473
   0.9756325    0.0033530
   0.9638189    0.0046044
   0.9517154    0.0058621
   0.9395399    0.0071039
   0.9273374    0.0083256
   0.9151028    0.0095314
   0.9028472    0.0107292
   0.8905857    0.0119211
   0.8783221    0.0131049
   0.8660715    0.0142787
   0.8538220    0.0154405
   0.8415704    0.0165913
   0.8293178    0.0177291
   0.8170621    0.0188579
   0.8048105    0.0199747
   0.7925609    0.0210786
   0.7803173    0.0221684
   0.7680776    0.0232422
   0.7558419    0.0242980
   0.7436002    0.0253368
   0.7313525    0.0263596
   0.7190918    0.0273694
   0.7068201    0.0283703
   0.6945444    0.0293621
   0.6822647    0.0303459
   0.6699889    0.0313218
   0.6577182    0.0322876
   0.6454514    0.0332424
   0.6331957    0.0341833
   0.6209479    0.0351061
   0.6087101    0.0360109
   0.5964763    0.0368937
   0.5842515    0.0377535
   0.5720356    0.0385853
   0.5598207    0.0393911
   0.5476159    0.0401659
   0.5354139    0.0409097
   0.5232100    0.0416204
   0.5110060    0.0422982
   0.4987970    0.0429450
   0.4865880    0.0435598
   0.4743739    0.0441426
   0.4621598    0.0446954
   0.4499487    0.0452142
   0.4377376    0.0457020
   0.4255335    0.0461548
   0.4133303    0.0465727
   0.4011331    0.0469534
   0.3889438    0.0472952
   0.3767545    0.0475960
   0.3645622    0.0478578
   0.3523789    0.0480796
   0.3401955    0.0482584
   0.3280081    0.0483952
   0.3158246    0.0484900
   0.3036402    0.0485428
   0.2914586    0.0485546
   0.2792981    0.0485224
   0.2671655    0.0484382
   0.2550649    0.0482959
   0.2430082    0.0480876
   0.2309864    0.0477993
   0.2189866    0.0474280
   0.2070117    0.0469686
   0.1950747    0.0464192
   0.1832686    0.0457808
   0.1717755    0.0450640
   0.1615883    0.0443473
   0.1533342    0.0437059
   0.1479560    0.0432553
   0.1435429    0.0428668
   0.1390727    0.0424545
   0.1346205    0.0420241
   0.1301653    0.0415737
   0.1257131    0.0411023
   0.1212639    0.0406089
   0.1168167    0.0400934
   0.1123724    0.0395530
   0.1079321    0.0389876
   0.1034938    0.0383972
   0.0990605    0.0377798
   0.0946302    0.0371314
   0.0902048    0.0364550
   0.0857844    0.0357446
   0.0813700    0.0350002
   0.0769625    0.0342177
   0.0725620    0.0333943
   0.0681695    0.0325269
   0.0637869    0.0316114
   0.0594163    0.0306450
   0.0550567    0.0296235
   0.0507110    0.0285491
   0.0463792    0.0274196
   0.0420635    0.0262271
   0.0377696    0.0249636
   0.0335037    0.0236031
   0.0292796    0.0221216
   0.0251115    0.0204890
   0.0210182    0.0186734
   0.0170257    0.0166517
   0.0131541    0.0143919
   0.0094652    0.0118949
   0.0058901    0.0090699
   0.0053727    0.0086173
   0.0048634    0.0081568
   0.0043630    0.0076852
   0.0038726    0.0072016
   0.0033943    0.0067050
   0.0029279    0.0061914
   0.0023714    0.0055319
   0.0018478    0.0048443
   0.0013663    0.0041297
   0.0009397    0.0033851
   0.0005771    0.0026124
   0.0002904    0.0018087
   0.0002082    0.0015138
   0.0001380    0.0012148
   0.0000817    0.0009139
   0.0000385    0.0006109
   0.0000112    0.0003060
   0.0000000    0.0000000
   0.0000028   -0.0002220
   0.0000038   -0.0002480
   0.0000146   -0.0004430
   0.0000355   -0.0006630
   0.0000663   -0.0008830
   0.0001071   -0.0011000
   0.0001569   -0.0013161
   0.0002208   -0.0015421
   0.0002956   -0.0017652
   0.0003804   -0.0019842
   0.0004752   -0.0021993
   0.0005800   -0.0024094
   0.0006929   -0.0026155
   0.0008277   -0.0028376
   0.0009735   -0.0030537
   0.0011273   -0.0032628
   0.0012892   -0.0034669
   0.0014590   -0.0036640
   0.0016348   -0.0038552
   0.0029729   -0.0050132
   0.0047219   -0.0061226
   0.0069739   -0.0072283
   0.0099119   -0.0083836
   0.0138577   -0.0096448
   0.0192963   -0.0110791
   0.0265878   -0.0126759
   0.0355362   -0.0142390
   0.0456727   -0.0156051
   0.0565953   -0.0167539
   0.0679961   -0.0177210
   0.0796680   -0.0185394
