md814	F5B fast airfoils edumolfino@ciudad.com
   1.0000000    0.0002320
   0.9950267    0.0010494
   0.9856589    0.0023247
   0.9746180    0.0036095
   0.9627882    0.0048940
   0.9506874    0.0061717
   0.9385205    0.0074435
   0.9263247    0.0087043
   0.9141248    0.0099561
   0.9019109    0.0111999
   0.8896961    0.0124437
   0.8774812    0.0136805
   0.8652583    0.0149153
   0.8530484    0.0161442
   0.8408365    0.0173620
   0.8286196    0.0185758
   0.8164177    0.0197806
   0.8042128    0.0209714
   0.7920019    0.0221542
   0.7798049    0.0233260
   0.7676100    0.0244808
   0.7554020    0.0256227
   0.7431951    0.0267555
   0.7309941    0.0278733
   0.7187771    0.0289791
   0.7065471    0.0300799
   0.6943261    0.0311738
   0.6821051    0.0322576
   0.6698721    0.0333354
   0.6576420    0.0344093
   0.6454290    0.0354731
   0.6332200    0.0365219
   0.6210059    0.0375577
   0.6088048    0.0385805
   0.5966228    0.0395813
   0.5844426    0.0405571
   0.5722565    0.0415089
   0.5600844    0.0424367
   0.5479262    0.0433314
   0.5357640    0.0441912
   0.5235927    0.0450220
   0.5114305    0.0458208
   0.4992792    0.0465815
   0.4871168    0.0473053
   0.4749445    0.0479971
   0.4627831    0.0486549
   0.4506307    0.0492716
   0.4384672    0.0498494
   0.4262987    0.0503932
   0.4141472    0.0508980
   0.4020036    0.0513567
   0.3898490    0.0517705
   0.3776914    0.0521463
   0.3655527    0.0524770
   0.3534160    0.0527568
   0.3412652    0.0529895
   0.3291194    0.0531803
   0.3169935    0.0533200
   0.3048636    0.0534058
   0.2927297    0.0534425
   0.2806247    0.0534272
   0.2685487    0.0533459
   0.2564756    0.0531966
   0.2444334    0.0529773
   0.2324382    0.0526739
   0.2204568    0.0522746
   0.2084964    0.0517842
   0.1965999    0.0511907
   0.1847803    0.0504832
   0.1732186    0.0496844
   0.1627029    0.0488537
   0.1541063    0.0480894
   0.1485058    0.0475513
   0.1441024    0.0471052
   0.1398060    0.0466510
   0.1353736    0.0461600
   0.1309402    0.0456429
   0.1265427    0.0451018
   0.1221412    0.0445347
   0.1177387    0.0439406
   0.1133421    0.0433215
   0.1089506    0.0426744
   0.1045630    0.0419963
   0.1001804    0.0412831
   0.0958037    0.0405340
   0.0914340    0.0397499
   0.0870703    0.0389298
   0.0827135    0.0380726
   0.0783658    0.0371735
   0.0740279    0.0362263
   0.0697011    0.0352312
   0.0653851    0.0341870
   0.0610822    0.0330948
   0.0567922    0.0319476
   0.0525201    0.0307384
   0.0482680    0.0294612
   0.0440368    0.0281169
   0.0398286    0.0267007
   0.0356502    0.0251984
   0.0315088    0.0235980
   0.0274083    0.0218957
   0.0233577    0.0200783
   0.0193760    0.0181148
   0.0154821    0.0159812
   0.0117031    0.0136506
   0.0081038    0.0110528
   0.0075244    0.0105903
   0.0069529    0.0101178
   0.0063905    0.0096363
   0.0058381    0.0091438
   0.0052966    0.0086403
   0.0047692    0.0081248
   0.0042567    0.0075982
   0.0037592    0.0070587
   0.0032768    0.0065041
   0.0028083    0.0059345
   0.0023537    0.0053479
   0.0019132    0.0047433
   0.0014726    0.0040937
   0.0010620    0.0034241
   0.0006984    0.0027334
   0.0003948    0.0020226
   0.0001681    0.0012888
   0.0000325    0.0005350
   0.0000092    0.0002680
   0.0000000    0.0000000
   0.0000039   -0.0001660
   0.0000058   -0.0002680
   0.0000265   -0.0005350
   0.0000623   -0.0008001
   0.0001161   -0.0010621
   0.0001759   -0.0012852
   0.0002487   -0.0015052
   0.0003325   -0.0017203
   0.0004263   -0.0019324
   0.0005301   -0.0021395
   0.0006419   -0.0023426
   0.0007807   -0.0025717
   0.0009285   -0.0027958
   0.0010843   -0.0030130
   0.0012481   -0.0032251
   0.0014190   -0.0034323
   0.0015948   -0.0036344
   0.0029466   -0.0049236
   0.0047534   -0.0062572
   0.0071572   -0.0077023
   0.0103937   -0.0093472
   0.0148370   -0.0112391
   0.0209411   -0.0133685
   0.0288441   -0.0156045
   0.0381912   -0.0177118
   0.0484056   -0.0195199
   0.0592153   -0.0210184
   0.0704132   -0.0222423
   0.0819362   -0.0232606
   0.0936215   -0.0241109
   0.1054528   -0.0248214
   0.1173453   -0.0254189
   0.1292898   -0.0259025
   0.1412984   -0.0262991
   0.1533121   -0.0266118
   0.1653649   -0.0268405
   0.1774558   -0.0270062
   0.1895436   -0.0271069
   0.2016656   -0.0271456
   0.2138246   -0.0271394
   0.2259806   -0.0270912
   0.2381537   -0.0269980
   0.2503607   -0.0268728
   0.2625689   -0.0267236
   0.2747700   -0.0265444
   0.2869922   -0.0263362
   0.2992273   -0.0261111
   0.3114495   -0.0258649
   0.3236737   -0.0255947
   0.3359210   -0.0253056
   0.3481752   -0.0250044
   0.3604195   -0.0246903
   0.3726717   -0.0243591
   0.3849450   -0.0240190
   0.3972213   -0.0236759
   0.4094856   -0.0233258
   0.4217559   -0.0229656
   0.4340362   -0.0226015
   0.4463185   -0.0222374
   0.4585888   -0.0218683
   0.4708611   -0.0214921
   0.4831424   -0.0211130
   0.4954257   -0.0207329
   0.5076991   -0.0203508
   0.5199744   -0.0199617
   0.5322547   -0.0195695
   0.5445370   -0.0191784
   0.5568094   -0.0187843
   0.5690807   -0.0183822
   0.5813600   -0.0179761
   0.5936354   -0.0175669
   0.6058937   -0.0171508
   0.6181471   -0.0167236
   0.6304074   -0.0162855
   0.6426608   -0.0158384
   0.6549012   -0.0153792
   0.6671406   -0.0149031
   0.6793910   -0.0144129
   0.6916404   -0.0139118
   0.7038849   -0.0133976
   0.7161403   -0.0128705
   0.7284138   -0.0123374
   0.7406882   -0.0118012
   0.7529607   -0.0112621
   0.7652311   -0.0107220
   0.7774986   -0.0101888
   0.7897750   -0.0096597
   0.8020475   -0.0091336
   0.8143139   -0.0086125
   0.8265883   -0.0080973
   0.8388648   -0.0075822
   0.8511382   -0.0070701
   0.8634126   -0.0065600
   0.8756861   -0.0060458
   0.8879605   -0.0055287
   0.9002209   -0.0050066
   0.9124854   -0.0044765
   0.9247448   -0.0039403
   0.9369953   -0.0033942
   0.9492248   -0.0028400
   0.9614103   -0.0022668
   0.9734768   -0.0016735
   0.9850233   -0.0010897
   0.9948857   -0.0005565
   1.0000000   -0.0002320
